h11,cy_index,axion_index,tau,f_GeV,Lambda2_GeV,mass_eV,Omega_a,fraction_DM,cy_volume
0,0,0,0.4999999999999993,6.712429301760328e+17,5.061867684141064e+17,1.8362424774665563e+27,6.980986352385846e+25,5.817488626988205e+26,0.16666666666666635
1,0,0,0.4999999999999993,6.712429301760328e+17,5.061867684141064e+17,1.8362424774665563e+27,6.980986352385846e+25,5.817488626988205e+26,0.16666666666666635
2,0,0,1.499999999999999,1.7688804355346922e+17,2.187431363645024e+16,3.011167551788533e+26,1.9631647300723055e+24,1.635970608393588e+25,0.9999999999999987
2,0,1,1.4999999999999984,1.7331417932208278e+17,2.1874313636450256e+16,3.0732600132948135e+26,1.903970292165789e+24,1.5866419101381576e+25,0.9999999999999987
3,0,0,1.9999999999999973,1.1658252886013283e+17,4547223051708990.0,9.497553569279106e+25,4.7892239338679164e+23,3.99101994488993e+24,3.6666666666666594
3,0,1,1.9999999999999978,9.979783746833906e+16,4547223051708986.0,1.1094917897819316e+26,3.793120439489169e+23,3.1609336995743074e+24,3.6666666666666594
3,0,2,1.9999999999999978,3.983093988626066e+16,4547223051708986.0,2.7798711661159527e+26,9.564136561444766e+22,7.970113801203972e+23,3.6666666666666594
4,0,0,4.9999999999999964,4.328122795852842e+16,366958706557.48486,2.0645080849454174e+22,9.73194771176759e+20,8.109956426472991e+21,10.666666666666655
4,0,1,4.9999999999999964,4.723549708019854e+16,366958706557.48486,1.8916799985197058e+22,1.1095660016256572e+21,9.246383346880477e+21,10.666666666666655
4,0,2,4.9999999999999964,1.8774586440749372e+16,366958706557.48486,4.7593296038099606e+22,2.780391646115438e+20,2.3169930384295317e+21,10.666666666666655
4,0,3,4.9999999999999964,2.768159188776896e+16,366958706557.48486,3.2279373747370573e+22,4.9777948984027906e+20,4.148162415335659e+21,10.666666666666655
5,0,4,42.4999999999999,807866125519996.9,2.5148027539502796e-40,7.579900323122729e-28,6.496850432589809e-08,5.414042027158174e-07,3433.333333333328
6,0,0,35.499350337294,7364803529190389.0,8.954158725122206e-31,2.9604831153003496e-19,0.10670774705033251,0.8892312254194376,141.9964205827367
6,0,1,22.999641684523567,1.0386109462042316e+16,1.0146860842462015e-13,0.023789086993250812,60157115.39589377,501309294.9657814,141.9964205827367
6,0,2,20.999698979527942,6528843232254548.0,5.432581371481115e-11,20.261377351204207,693744077.9204174,5781200649.336812,141.9964205827367
6,0,3,24.999575628962084,7193052367506368.0,1.8952614162018634e-16,6.415859794513654e-05,1498463.6135141773,12487196.77928481,141.9964205827367
6,0,4,37.49929304228962,2959491314506302.0,1.6724388708118447e-33,1.3760434539765467e-21,0.0011747421155684928,0.00978951762973744,141.9964205827367
6,0,5,15.49973528118818,2859535715615605.5,0.001733910422285245,1476488597.5049403,1136052558915.4358,9467104657628.633,141.9964205827367
7,0,2,37.49999999999942,1727728148568255.2,1.6687285507747077e-33,2.351848017585208e-21,0.0005234169343735512,0.004361807786446259,2646.9999999999595
7,0,3,37.49999999999477,916176821947683.1,1.668728550799062e-33,4.435119863169544e-21,0.0002021173552837308,0.00168431129403109,2646.9999999999595
8,0,0,66.99399352229317,1.071588297139967e+16,9.582489549674129e-74,2.177455849017058e-62,6.126647984177695e-23,5.105539986814746e-22,454.93901876167166
8,0,1,9.499325210858522,3821568584049976.0,266590.2552035361,1.698640903973166e+17,2.1763384261072836e+16,1.8136153550894032e+17,454.93901876167166
8,0,2,67.49452661579134,4042373232901783.5,1.988670526416776e-74,1.1979133179517825e-62,6.466627438690233e-24,5.388856198908527e-23,454.93901876167166
8,0,5,48.995797354010065,2384347847155783.5,3.449781732167109e-49,3.523067545638225e-37,1.2200904781064728e-11,1.0167420650887274e-10,454.93901876167166
8,0,6,42.99589790727616,1353641984716440.5,5.295567994053401e-41,9.525936851183881e-29,6.46626957612409e-08,5.388557980103409e-07,454.93901876167166
8,0,7,10.999421881443169,1460161495377564.5,2394.1306389559754,3992509132936950.0,487098809256758.94,4059156743806324.5,454.93901876167166
9,0,7,72.99999999999443,393967156316280.9,6.123858329673539e-82,3.7849843048296863e-69,3.452585179305816e-29,2.87715431608818e-28,8258.550666665413
9,0,8,49.13999999999521,783782245842243.8,2.193031843276457e-49,6.8131583315463255e-37,1.8334007691210576e-12,1.527833974267548e-11,8258.550666665413
